id,nombre,precio_minorista,precio_mayorista,categoria,stock,imagen,descripcion
1,Body Splash VS - Midnight Bloom (250ml),24.6,19,Body Splash,5,https://i.ibb.co/k6P2Db03/VICTORIA-SECRET-BODY-SPLASH-MIDNIGHT-BLOOM-CLASICO-250-ML.png,Producto Original Importado.
2,Body Splash VS - Temptation (250ml),24.6,19,Body Splash,5,https://i.ibb.co/4gjk4CtT/VICTORIA-SECRET-BODY-SPLASH-TEMPTATION-CLASICO-250-ML.png,Producto Original Importado.
3,Body Splash VS - Love Spell (250ml),24.6,19,Body Splash,5,https://i.ibb.co/MkFsz3hf/VICTORIA-SECRET-BODY-SPLASH-LOVE-SPELL-CLASICO-250-ML.png,Producto Original Importado.
4,Body Splash VS - Velvet Petals (250ml),24.6,19,Body Splash,5,https://i.ibb.co/G38Xmftd/VICTORIA-SECRET-BODY-SPLASH-VELVET-PETALS-250-ML.png,Producto Original Importado.
5,Body Splash VS - Coconut Passion (250ml),24.6,19,Body Splash,5,https://i.ibb.co/JFG4bQ8J/BODY-SPLASH-COCONUT-PASSION.png,Producto Original Importado.
6,Body Splash VS - Amber Romance (250ml),24.6,19,Body Splash,5,https://i.ibb.co/VWycRGnw/VICTORIA-SECRET-BODY-SPLASH-AMBER-ROMANCE-CLASICO-250-ML.png,Producto Original Importado.
7,Body Splash VS - Bare Vanilla (250ml),24.6,19,Body Splash,5,https://i.ibb.co/DHMh91g2/VICTORIA-SECRET-BODY-SPLASH-BARE-VAINILLA-CLASICO-250-ML.png,Producto Original Importado.
8,Body Splash VS - Pure Seduction (250ml),24.6,19,Body Splash,5,https://i.ibb.co/ynTQXDSP/VICTORIA-SECRET-BODY-SPLASH-PURE-SEDUCTION-CLASICO-250-ML.png,Producto Original Importado.
9,Body Splash VS - Rush (250ml),24.6,19,Body Splash,5,https://i.ibb.co/yctKKgvq/VICTORIA-SECRET-BODY-SPLASH-RUSH-CLASICO-250-ML.png,Producto Original Importado.
10,Body Splash VS - Aqua Kiss (250ml),24.6,19,Body Splash,5,https://i.ibb.co/zHNvKhSV/VICTORIA-SECRET-BODY-SPLASH-AQUA-KISS-CLASICO-250-ML.png,Producto Original Importado.
11,Body Splash VS - Romantic (250ml),24.6,19,Body Splash,0,https://i.ibb.co/rfN5w9Vp/VICTORIA-SECRET-BODY-SPLASH-ROMANTIC-CLASICO-250-ML.png,Producto Original Importado.
12,Body Splash VS - Vibrant Breeze (250ml),24.6,19,Body Splash,1,https://i.ibb.co/Vp2S85vH/BODY-SPLASH-VS-VIBRANT-BREEZE.png,Producto Original Importado.
